-6,-14,-38,-3,-6,-2,-4,-4
-6,-8,2,-8,-2,-2,-2,-7
-2,4,21,18,0,1,1,2
-7,-5,-18,-17,-5,-4,-2,-2
0,1,12,8,1,-3,-3,1
0,0,-3,1,1,0,2,0
-1,-3,-18,1,0,0,-1,-2
-3,7,27,4,5,1,2,3
-1,-1,-13,-8,0,2,0,-1
-1,-5,-3,-1,-4,-2,-5,-1
-3,-1,-9,-9,-1,0,-4,-3
1,-2,-2,0,-5,-4,-2,1
0,1,6,-6,-6,-1,0,-1
3,1,-5,5,5,0,1,2
-1,-1,-3,-8,-2,-1,0,1
1,-3,-8,1,0,1,-2,-2
0,-4,3,20,11,-1,-2,-2
-3,6,2,-22,-6,2,1,3
1,-4,-21,-12,-4,-1,-1,-2
-2,-3,30,8,0,0,-1,-3
-1,2,-4,-3,2,-1,1,1
2,0,-23,0,1,-1,0,0
-3,-5,-3,0,-1,-4,-2,-2
1,-4,10,5,-6,-2,-1,-2
1,1,18,9,1,2,2,0
-4,-3,-7,-1,0,0,-1,1
6,-1,-1,2,-3,0,-1,-2
-1,-1,-7,-2,-2,-1,-2,0
-2,3,15,3,0,-2,0,0
1,-3,-6,5,2,0,0,0
-2,0,-37,2,1,-1,0,0
-3,-4,51,-10,-5,-3,-3,-5
2,-7,-12,-12,-3,-1,-1,0
-3,2,-1,4,-2,0,0,-1
-3,0,18,5,2,1,-3,-2
2,2,-4,11,5,0,-5,-1
-1,0,-33,-7,-1,-1,-2,-1
-3,-6,-1,-5,-5,-3,5,-3
-3,0,9,4,-5,-2,-1,0
2,2,3,-10,-6,-1,2,0
-3,-4,-27,0,14,1,-3,-1
1,3,18,12,1,1,0,0
-3,-7,-38,-29,-5,-12,-5,-4
-7,-9,-24,-14,-10,-1,-3,-3
2,-2,15,3,-15,-3,-4,1
0,0,-9,-4,6,4,4,-1
2,6,32,15,12,6,7,1
-2,-3,11,18,8,-1,-2,1
-5,-1,-25,-19,-4,3,10,-4
2,1,42,8,-6,-6,-14,-1
2,0,-15,2,-5,-4,-9,4
8,-5,-10,-16,-2,-5,6,-5
5,-4,4,0,-2,1,-8,-3
-15,-2,-7,-11,-6,-1,7,-2
-2,-1,4,6,-2,0,0,-1
-2,1,-14,5,10,0,-9,2
4,4,31,20,2,-3,-2,0
3,-4,-22,-15,-4,0,-2,-1
2,-2,1,2,2,2,-3,0
-1,2,-20,22,-2,0,1,2
-4,1,15,9,3,1,3,-3
-4,-4,1,-25,-3,-2,-5,-2
5,2,-17,18,6,2,5,1
-4,-7,12,-18,-6,0,-3,-2
-2,2,15,-5,1,-3,-4,0
2,5,-21,3,-2,0,-2,0
-3,-9,-13,-8,0,-1,3,-3
-2,1,-20,7,-5,-2,-6,-1
-1,2,19,0,-4,-1,-1,1
2,9,51,12,3,-4,-6,-1
-15,-18,-59,-23,-8,3,9,-3
17,-1,-12,9,0,-3,4,-2
-1,-6,-22,-10,2,-1,3,2
3,2,-1,17,1,1,-5,-1
-3,5,42,5,0,1,-3,2
-7,0,9,-8,-2,2,0,-1
-2,-1,-11,-12,-2,-4,-3,-3
2,-3,-9,2,1,-1,1,1
1,2,-12,1,0,0,-5,-1
-8,-5,21,-9,-3,-1,1,-3
0,0,-6,5,-2,-3,-3,0
-6,-1,-7,1,0,-3,-1,0
10,-3,1,-11,-8,-1,0,-2
-3,4,-12,8,1,-3,0,1
-4,-5,-1,-5,1,-2,-5,-2
0,-8,-14,-4,1,0,1,-1
-3,3,4,1,1,-2,-2,-3
2,2,0,-4,4,5,6,0
-2,-2,23,18,-6,-4,-4,-5
0,-2,-24,-22,-1,-1,2,0
-5,-2,17,-2,-3,-4,-8,-2
-3,0,-12,-6,-1,0,-3,1
-1,-2,-2,11,0,2,-9,1
4,-3,-21,-21,-2,-2,7,-3
-5,4,16,10,-1,3,6,-1
-1,3,-6,-6,3,-2,2,-1
-3,-7,-37,-6,-3,-2,1,-1
0,0,3,2,-1,-6,-6,1
0,1,12,1,0,-3,-3,-1
-1,-1,5,1,4,1,2,-1
1,9,6,3,2,3,-1,0
-1,-5,-18,4,-3,1,-2,-3
-3,-6,10,-3,-2,-2,0,-4
-3,1,2,-14,-7,-3,-4,-1
0,0,8,-4,2,-3,3,0
0,-3,2,4,-1,-3,-1,0
0,3,-1,1,0,-2,0,1
-1,-2,-1,9,-2,-1,-1,-1
-4,-4,1,-14,0,1,2,-2
7,5,14,2,-4,-2,-1,0
-1,-6,-9,-2,-1,-4,-4,-1
-2,-2,-9,-2,-5,-1,1,-3
-2,-2,-18,-2,-2,0,4,0
-3,-1,-1,11,6,3,0,0
-1,7,17,-12,-1,-2,-4,-3
-2,-12,0,11,3,3,2,-3
1,0,-2,-28,-1,-1,1,-1
-3,-10,-29,5,-3,1,-4,-3
0,1,5,-4,-4,1,-1,2
-2,3,-2,3,2,-4,-3,-1
0,0,11,14,0,-2,-1,-1
-2,4,7,2,-4,-2,1,0
-2,-2,-1,-8,-3,-1,-1,-4
4,-2,21,-3,-2,-3,0,3
-4,-1,-25,2,2,-1,-6,-3
1,0,-13,-7,-5,-1,-1,-1
-1,-1,8,8,5,6,2,-1
-3,-6,-15,-6,-2,-5,-8,-2
2,7,12,5,-1,0,9,0
-4,-4,-14,-5,-3,-4,-5,-2
-3,-4,-2,-5,-3,-1,2,0
-2,1,13,0,0,0,-4,-3
0,0,8,4,-1,-3,-9,-1
-4,-4,-2,-5,2,0,7,-3
2,0,-2,10,1,-2,-1,0
1,3,-7,-16,1,3,1,0
-1,-5,-12,-2,-4,-5,-2,-1
-1,-1,7,-1,0,2,0,0
0,-2,-2,-2,0,-5,-5,-3
0,4,2,14,-6,-4,-4,-1
-1,-2,-9,-14,-3,4,7,-2
1,3,11,2,1,1,-2,-1
-2,-4,1,2,2,1,1,1
-2,-3,-13,-1,2,-1,0,-2
0,-5,2,-4,-2,0,-3,0
0,5,34,5,0,2,-2,-1
0,3,-35,-9,-2,-2,0,1
0,1,-6,-3,-2,-5,0,-2
-2,-1,27,13,1,-1,-5,0
-1,-8,-28,-20,1,0,-4,1
-2,-1,11,11,-3,-2,3,0
-7,-9,-37,-25,-7,0,1,-4
7,1,-1,4,0,-2,-3,-1
0,0,4,3,1,-1,1,-1
1,2,10,-5,2,1,-1,2
-3,0,6,6,0,0,1,-1
-3,1,-7,1,-1,0,-4,-2
-3,-2,-2,3,-2,0,1,-1
0,-2,-10,-5,0,-2,-2,-4
-1,2,30,3,-3,0,0,0
-2,-3,-14,-1,-3,-1,-2,-1
0,5,11,4,2,2,-3,2
-2,1,-3,4,0,1,5,0
-3,-11,-14,-15,1,0,-5,-2
0,-2,-1,6,-1,-4,1,0
0,-1,-1,-10,-2,-2,-1,-2
0,1,-11,1,-2,-1,-6,-1
1,1,13,5,2,-1,4,0
-2,-4,-6,-7,-5,-6,-2,-2
-3,-2,3,3,-3,-4,-15,0
-3,-3,-3,-2,1,3,12,0
6,4,7,5,6,4,7,0
-3,2,-3,-2,1,1,1,-1
0,0,-19,-4,0,-2,1,-1
-4,-6,31,4,-7,-6,-9,-5
-3,0,-17,5,-3,0,-5,0
0,0,-1,-2,-1,-1,1,0
-2,-3,-7,-4,-1,-2,-5,-2
1,1,-5,-7,1,-1,-1,0
-1,1,9,2,-2,1,2,0
1,-1,3,2,-3,0,-6,-1
-1,-2,4,1,1,1,8,-1
1,-1,1,3,1,-2,-5,-1
-1,3,12,3,-2,-2,-3,-2
-2,2,-40,-25,-4,-1,1,2
-2,-3,16,5,2,0,1,-1
0,-4,-8,-2,5,1,-1,-2
-1,-1,-11,2,3,-1,-5,-1
-3,2,14,9,-2,-1,1,-2
1,1,10,2,-2,-2,-1,-3
-2,-2,-4,-11,-5,-5,0,-2
-3,-1,8,0,-5,-2,-4,-1
-2,-4,4,-1,5,5,6,-1
-2,1,-1,7,0,0,2,-2
-1,-1,-9,-11,-5,-3,-2,-1
-3,-2,-9,-7,-3,-4,-4,-4
-1,-1,-7,-8,-3,-2,-2,-1
0,-4,7,4,-2,-1,-3,-1
3,-1,5,7,2,5,-7,2
-2,1,5,5,2,-3,6,2
6,-2,9,3,4,-1,2,-3
-4,-5,-16,-3,-3,-4,-1,-2
-2,1,-10,-6,-5,-5,-2,-1
1,-1,-10,-6,-5,-3,-4,-1
-3,2,6,1,0,0,-3,1
-1,2,-2,-3,-1,1,1,0
-2,0,-5,-2,0,-1,-1,-3
-1,0,11,-2,1,1,1,-1
-5,5,21,9,-4,-5,2,1
16,-7,-36,0,-2,-2,-10,-4
-1,0,8,-2,-3,3,7,1
1,1,-13,6,5,-1,1,0
1,-3,6,1,1,-1,-2,0
-6,3,7,-14,2,1,1,0
-2,-1,-7,1,-2,-2,-3,-1
1,-1,7,-2,0,2,-2,-3
-2,-2,-12,11,-1,0,-4,-1
-7,1,9,-11,-5,-6,0,0
-1,-1,-6,-2,0,-2,-3,-1
-2,0,23,9,-3,-3,-1,-1
-3,-4,-7,-14,-4,-2,-4,-3
-1,-1,6,6,-2,0,1,-2
1,0,2,-4,-2,0,-2,2
2,-2,-19,-1,-1,-1,-2,-1
-1,-2,-2,1,1,-2,1,-3
0,0,-2,-2,2,-2,-6,-1
-1,1,3,7,-3,-4,7,-3
-5,-2,-1,-3,-3,-1,-5,-2
8,2,5,-8,0,1,0,-2
-3,-6,-19,9,-5,-3,2,4
-8,-3,-6,4,-2,-3,-5,-6
3,-1,16,-4,1,5,1,-1
0,-1,-8,2,5,1,-1,2
2,1,24,-4,2,2,1,0
0,1,-13,1,0,-1,-2,2
-4,-2,-12,-2,-7,-5,2,-1
-2,-1,2,-1,0,-2,2,-3
-5,2,-11,2,2,-1,3,0
1,-3,12,1,0,-3,-4,0
-1,0,-5,-7,-1,0,-2,0
-5,0,8,4,-3,2,0,0
2,-1,0,-2,7,0,-1,-1
-1,-2,-16,-15,-2,-3,-11,1
7,-1,2,7,-2,-1,6,-2
-5,-5,-5,-4,-1,0,-3,-2
-2,0,5,3,-7,-4,1,-2
0,-1,-2,-4,0,0,-3,0
-3,2,-2,0,1,-1,-4,0
0,-2,-9,-7,-4,-1,-4,1
-1,4,-30,10,0,3,3,4
10,-7,13,-9,1,-2,2,-7
0,0,-11,0,1,0,-3,1
0,-1,7,-1,-1,-5,-3,-2
-7,0,23,7,-4,-5,-12,-2
0,7,-5,2,2,6,18,3
0,-8,-23,-4,-3,-3,-1,-2
0,-2,0,-4,-1,0,1,-2
-5,-3,4,-5,-2,-2,-10,-3
-2,2,15,13,-3,-2,2,-1
1,-2,-3,-12,2,1,-2,-2
-4,-3,-19,-6,-3,-3,-2,2
1,-2,16,2,-3,-4,0,-5
-3,-2,-3,1,-5,-4,-5,-3
0,2,-15,3,-1,0,0,2
-1,-2,-2,-2,2,-2,-2,-2
1,0,-1,-4,1,6,4,-1
-2,-2,0,-7,4,2,-5,1
-14,0,5,1,-3,-4,-4,-2
16,1,7,13,0,4,-1,-2
-9,-6,-7,-25,-5,-2,2,-8
-2,-1,-19,-2,-1,-3,-2,0
-5,2,23,4,-2,-7,-1,1
-7,-5,1,0,-7,-4,-1,-3
5,1,-13,6,1,5,5,0
1,-2,2,-1,3,2,-5,0
9,-1,4,-2,0,1,3,-1
-18,4,16,10,0,-1,2,-4
-2,-6,-28,-11,-3,-5,-3,0
-4,-7,-10,-8,-6,-2,6,-1
-1,1,20,9,-2,0,-2,0
18,2,-28,-14,4,0,2,-1
-4,-3,-2,4,0,-3,-3,-1
-2,2,15,1,-1,-1,-5,-1
2,-2,-20,-2,0,-2,1,0
-2,0,12,5,0,-1,-1,0
1,1,1,7,2,-1,-1,0
2,-3,-9,-3,-5,-4,-5,-2
0,0,4,-9,-8,-3,2,-3
-6,-1,-11,-3,-4,2,-2,2
20,1,10,4,10,2,2,-2
-2,1,3,11,2,1,3,2
-5,-1,7,1,-3,0,-3,-2
1,-3,-9,-13,-6,-5,-3,-1
-3,0,13,9,-7,-5,-1,0
-5,-1,-6,-4,3,2,-2,-1
12,-3,-16,-5,7,0,-4,-1
-3,-2,4,1,1,6,6,0
-6,2,11,-1,-2,-1,-1,-2
-2,-2,-7,-2,-4,-6,-3,-2
-3,4,9,2,-2,1,0,0
-2,-8,-13,-6,-1,-6,-8,-2
-4,-3,0,0,0,1,3,1
-1,-3,-10,-2,-2,0,-2,-2
-3,-4,-4,-3,-2,-2,-6,-2
0,1,12,7,-1,-5,-4,-1
1,2,4,4,1,2,6,1
-5,-2,1,-4,4,1,0,-1
-6,-2,-7,0,-1,0,2,-1
9,-1,-8,-7,-3,-5,-4,-3
-3,-3,3,-8,-6,-6,-9,-1
2,4,12,9,-1,0,7,1
6,1,-10,4,1,-1,-3,1
-17,0,16,11,3,0,3,-3
-1,-3,-1,-3,-3,1,-3,-1
0,-1,-5,-5,-2,1,-3,-1
1,-2,-13,-13,-2,-4,-3,0
1,0,8,3,-2,-1,-2,0
-2,-1,-5,-1,1,-1,0,-2
-4,-1,5,-3,-1,-3,-6,-2
-2,0,3,3,-3,0,0,0
2,-4,-30,-8,-4,1,0,-1
-4,-2,1,-1,0,-2,0,-2
-1,-1,-15,2,1,3,3,0
6,1,32,-16,-1,-2,-11,-4
1,1,4,1,-1,-3,6,0
-2,-1,-6,-6,-5,-2,0,-3
4,-1,-2,6,-3,-4,-1,0
-4,-1,-7,3,0,0,3,-2
1,-1,-1,-2,3,0,-5,0
-1,0,4,-2,0,0,2,-1
-2,1,1,-4,-1,-6,-6,-2
1,-3,-12,3,1,-2,2,1
-1,-3,10,-8,-6,2,-3,-4
0,0,0,2,-2,4,2,0
-1,1,25,-1,3,0,-3,-1
0,-3,-22,8,-4,0,1,-1
-18,-2,-3,-8,6,-2,0,-1
-7,0,-5,-3,0,-1,-2,0
14,-1,8,-3,-6,-2,-9,-4
-5,0,12,-1,-3,-3,5,-1
3,0,-2,9,-1,-1,1,0
-5,-5,-11,-6,-3,-2,-3,-1
-5,-1,-11,-5,-2,-1,4,2
-1,-1,2,11,2,2,-3,0
1,0,2,-7,-4,-2,-3,-2
-1,0,11,0,0,-4,2,-4
0,0,-13,4,0,1,-3,1
-1,-2,-12,-6,-1,3,-2,-1
-6,-3,13,1,-6,-4,-1,-1
3,0,-10,-2,0,-1,-7,-2
-2,0,3,0,2,1,7,1
-4,-2,-11,-1,1,3,0,-1
0,1,-7,2,2,0,-1,-1
0,0,-6,-1,-4,-4,1,0
3,3,1,3,-1,0,0,-3
-14,-4,-2,11,-2,-1,-9,-2
-1,4,6,-22,-3,-4,3,4
8,-8,-6,-8,-2,1,-1,-10
0,0,12,-2,-3,-3,-5,0
1,0,2,8,2,-1,2,0
3,-8,-5,6,-1,-5,-6,-2
-7,2,4,1,2,4,1,2
-7,-4,-1,-4,-2,-1,1,-2
2,1,-4,-7,-3,-1,-4,-1
9,2,-7,5,-1,2,0,0
1,2,-1,-2,0,0,0,2
-3,-3,-1,0,-1,-4,-4,-3
1,0,0,-1,3,-3,0,-1
